0,5.0,c#,1,m,0
5.0,6.0,c#,4,m,2
6.0,11.0,c#,1,m,0
11.0,12.0,c#,4,m,1
12.0,17.0,c#,5,D7,1
17.0,18.0,c#,1,m,0
18.0,24.0,c#,5,D7,0
24.0,27.0,c#,-6,M7,3
27.0,30.0,E,7,d,1
30.0,33.0,E,3,m7,3
33.0,36.0,E,6,m,1
36.0,39.0,E,2,m7,3
39.0,42.0,E,5,M,1
42.0,47.0,E,1,M,0
47.0,48.0,E,4,M,1
48.0,54.0,c#,5,D7,2
54.0,57.0,c#,7,d7,0
57.0,59.0,c#,1,m,0
59.0,60.0,g#,2,d,2
60.0,61.5,g#,5,D7,2
61.5,62.0,g#,1,m,1
62.0,63.0,g#,2,m,0
63.0,64.5,g#,3,a,2
64.5,65.0,g#,-7/7,d,1
65.0,66.0,g#,7,m,0
66.0,71.0,g#,5,D7,3
71.0,72.0,g#,1,m,0
72.0,74.0,g#,1,M,2
74.0,75.0,g#,4,m,0
75.0,77.0,g#,1,m,2
77.0,78.0,g#,5,M,0
78.0,83.0,g#,1,m,0
83.0,84.0,B,1,M,1
84.0,90.0,B,5,D7,1
90.0,93.0,B,1,M,0
93.0,95.0,B,6,m7,0
95.0,96.0,B,5,m,0
96.0,100.5,c#,5,D7,0
100.5,101.0,c#,2,m,2
101.0,102.0,c#,7,d,0
102.0,108.0,c#,1,m,0
108.0,114.0,f#,7,d7,0
114.0,120.0,f#,1,m,0
120.0,121.5,A,5,M,1
121.5,122.0,A,1,M,0
122.0,123.0,A,2,D7,0
123.0,126.0,A,5,M,0
126.0,129.0,c#,1,m,0
129.0,132.0,c#,7,d7,1
132.0,135.0,c#,5,D7,0
135.0,138.0,c#,1,m,2
138.0,141.0,c#,4,m,0
141.0,144.0,c#,-2,M,1
144.0,147.0,c#,7,d7,1
147.0,150.0,c#,5,D7,2
150.0,156.0,c#,-6,M7,0
156.0,159.0,c#,7,d7,1
159.0,162.0,c#,5,D7,1
162.0,164.0,c#,1,m,0
164.0,168.0,c#,4,m7,0
168.0,174.0,c#,5,D7,1
174.0,176.0,c#,2,d,2
176.0,177.0,c#,5,M,0
177.0,180.0,c#,2,d,1
180.0,183.0,c#,5,D7,2
183.0,186.0,c#,5,D7,1
186.0,188.0,c#,3,M,0
188.0,189.0,c#,2,d,1
189.0,192.0,c#,7,d7,0
192.0,198.0,c#,5,D7,0
198.0,200.0,c#,1,m,0
200.0,201.0,c#,4,m7,0
201.0,203.0,c#,1,m,2
203.0,204.0,c#,5,M,0
204.0,206.0,g#,2,m7,0
206.0,207.0,g#,5,D7,2
207.0,210.0,g#,7,d7,1
210.0,216.0,g#,7,d7,0
216.0,219.0,g#,5,D7,0
219.0,221.0,g#,7,d7,0
221.0,222.0,c#,5,D7,2
222.0,224.0,c#,-6,M,0
224.0,225.0,c#,4,m,0
225.0,227.0,c#,1,m,0
227.0,228.0,c#,5,M,0
228.0,229.0,c#,1,m,0
229.0,230.0,c#,4,m,2
230.0,231.0,c#,7,d7,3
231.0,234.0,c#,1,M,0
