0.0,3.0,D-,1,M,1
3.0,4.5,D-,1,M,1
4.5,6.0,D-,1,M,0
6.0,7.5,D-,1,M,0
7.5,9.0,D-,5,D7,2
9.0,10.5,D-,1,M,0
10.5,12.0,D-,5,D7,1
12.0,13.5,D-,1,M,0
13.5,15.0,D-,5,D7,2
15.0,16.5,D-,1,M,0
16.5,17.0,D-,1,M,2
17.0,17.5,D-,5,M,0
17.5,18.0,D-,2,m,1
18.0,19.5,D-,5/6,D7,0
19.5,21.0,D-,6,m,0
21.0,22.5,D-,5/2,M,1
22.5,24.0,D-,2,m,0
24.0,25.5,D-,5,D7,1
25.5,26.5,D-,1,M,0
26.5,27.0,D-,1,M,1
27.0,28.0,D-,1,M,2
28.0,28.5,D-,5,D7,0
28.5,30.0,D-,1,M,0
30.0,31.0,D-,1,M,2
31.0,31.5,D-,5,D7,0
31.5,32.5,D-,1,M,0
32.5,33.0,D-,4,M,1
33.0,34.0,D-,1,M,2
34.0,34.5,D-,5,D7,0
34.5,36.0,D-,1,M,0
36.0,37.5,D-,1,M,0
37.5,39.0,D-,5,D7,2
39.0,40.5,D-,1,M,0
40.5,42.0,D-,5,D7,1
42.0,43.0,D-,7,d7,0
43.0,44.5,D-,1,M,0
44.5,45.0,D-,5,D7,2
45.0,46.0,D-,5,D7,2
46.0,46.5,D-,1,M,0
46.5,47.5,D-,7/7,d7,0
47.5,48.0,D-,5,M,1
48.0,49.0,D-,7/3,d7,3
49.0,49.5,D-,3,M,1
49.5,50.5,D-,3,M,0
50.5,51.0,D-,6,M,0
51.0,52.0,e-,4,It+6,1
52.0,53.5,e-,5/2,M,0
53.5,54.0,e-,1,m,0
54.0,55.0,D-,7/5,d7,2
55.0,55.5,D-,5,M,1
55.5,56.5,D-,5,D7,1
56.5,57.0,D-,1,M,0
57.0,58.5,D-,1,M,2
58.5,59.0,D-,5,D7,3
59.0,60.0,D-,1,M,1
60.0,61.0,D-,1,M,2
61.0,62.0,D-,5,D7,3
62.0,62.5,D-,1,M,2
62.5,63.0,D-,1,M,0
63.0,64.5,D-,1,M,1
64.5,65.5,D-,1,M,0
65.5,66.0,D-,1,m,0
66.0,67.5,c#,1,m,0
67.5,69.0,c#,5,D7,2
69.0,70.25,c#,1,m,0
70.25,70.5,c#,1,m,2
70.5,71.75,c#,5,M,0
71.75,72.0,c#,5,m,0
72.0,73.5,E,1,M,0
73.5,75.0,E,5,D7,2
75.0,76.5,E,1,M,0
76.5,77.25,E,5,M,0
77.25,77.5,E,5,D7,3
77.5,77.75,E,1,M,1
77.75,78.0,E,5,D7,2
78.0,79.5,E,7/2,d7,0
79.5,81.0,E,5/2,D7,1
81.0,83.75,E,7/5,d7,0
83.75,84.0,E,5/5,D7,1
84.0,85.25,c#,7,d7,0
85.25,86.75,c#,7,d7,3
86.75,87.0,c#,7/5,d7,0
87.0,88.25,c#,1,m,2
88.25,88.5,c#,5,D7,2
88.5,89.25,c#,1,m,0
89.25,89.5,c#,4,m,1
89.5,89.75,c#,7/4,d,2
89.75,90.0,c#,4,m,1
90.0,91.25,c#,1,m,2
91.25,91.5,c#,5,D7,2
91.5,92.25,c#,1,m,0
92.25,92.5,c#,1,M,0
92.5,92.75,c#,5/4,D7,3
92.75,93.0,c#,4,m,0
93.0,94.25,d-,5,M,2
94.25,95.0,d-,5,M,0
95.0,96.0,D-,1,M,0
96.0,96.5,D-,1,M,0
96.5,97.5,D-,5,M,1
97.5,98.0,D-,5,D7,0
98.0,98.5,D-,6,m7,0
98.5,99.0,D-,5,D7,1
99.0,99.5,D-,1,M,0
99.5,100.0,D-,5,D7,2
100.0,100.5,D-,6,m7,2
100.5,101.0,D-,1,M,1
101.0,102.0,D-,5,D7,2
102.0,102.5,D-,1,M,0
102.5,103.0,D-,5,M,1
103.0,103.5,D-,6,m,1
103.5,104.0,D-,5,D7,0
104.0,105.0,D-,5,D7,1
105.0,105.5,D-,1,M,0
105.5,106.0,D-,5,D7,2
106.0,106.5,D-,6,m7,2
106.5,107.0,D-,1,M,1
107.0,107.5,D-,5,D7,2
107.5,108.0,D-,5/3,M,1
108.0,109.25,D-,3,m,0
109.25,110.0,D-,5/6,M,0
110.0,110.5,D-,6,m,1
110.5,111.0,D-,6,m,0
111.0,111.5,D-,6,m,0
111.5,112.5,D-,5/2,M,0
112.5,113.0,D-,2,m,2
113.0,113.5,D-,2,m,1
113.5,114.0,D-,2,m,0
114.0,115.5,D-,2,m,1
115.5,116.0,D-,1,M,2
116.0,116.5,D-,1,M,1
116.5,117.0,D-,1,M,0
117.0,118.0,D-,1,M,2
118.0,118.5,D-,5,D7,0
118.5,119.0,D-,1,M,0
119.0,119.5,D-,1,M,1
119.5,120.0,D-,5,D7,3
120.0,121.0,D-,1,M,2
121.0,121.5,D-,5,D7,0
121.5,122.0,D-,1,M,2
122.0,122.5,D-,1,M,1
122.5,123.0,D-,5,D7,3
123.0,123.5,D-,5,M,0
123.5,124.0,D-,1,M,1
124.0,124.5,D-,5,D7,2
124.5,125.0,D-,1,M,2
125.0,125.5,D-,4,M,1
125.5,126.0,D-,2,m,2
126.0,127.5,D-,1,M,0
127.5,129.0,D-,5,D7,2
129.0,130.5,D-,1,M,0
130.5,132.0,D-,5,D7,1
132.0,133.5,D-,1,M,0
133.5,135.0,D-,5,D7,2
135.0,136.5,D-,1,M,0
136.5,137.75,D-,5,D7,1
137.75,138.0,D-,6,m7,0
138.0,139.5,D-,5/6,D7,1
139.5,141.0,D-,5/2,D7,3
141.0,142.5,D-,5/5,D7,1
142.5,144.0,D-,5,D7,3
144.0,145.5,D-,5,D7,3
145.5,147.0,D-,1,M,1
147.0,148.0,D-,1,M,2
148.0,148.5,D-,5,D7,0
148.5,150.0,D-,1,M,1
150.0,151.5,D-,7/2,d7,0
151.5,152.75,D-,2,m,1
152.75,153.0,D-,7/5,d,0
153.0,154.0,D-,1,M,2
154.0,154.5,D-,5,D7,0
154.5,155.5,D-,1,M,0
155.5,156.0,D-,2,m7,0
156.0,157.0,D-,1,M,0
157.0,157.75,D-,2,m7,0
157.75,158.75,D-,1,M,0
158.75,159.0,D-,2,m7,0
159.0,162.0,D-,1,M,0
